,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
321,2019,322,0,0,0,1,0,68.8,8.093151,0,0
322,2019,323,0,3,0,3,2,67.6,8.202894,0,0
323,2019,324,0,3,0,7,1,68.5,8.19861,0,0
324,2019,325,0,23,0,1,10,69.1,8.316303,0,0
325,2019,326,0,27,0,-15,13,67.9,9.508952,0,0
326,2019,327,0,23,0,-17,10,68.5,9.173336,0,0
327,2019,328,0,23,0,-15,11,68.8,9.312676,0,0
328,2019,329,0,10,0,-11,4,67.7,8.943662,0,0
329,2019,330,0,7,0,-5,2,68.6,8.39917,0,0
330,2019,331,0,10,0,-1,4,69.6,8.167973,0,0
331,2019,332,0,7,0,2,3,68.3,8.644917,0,0
332,2019,333,0,10,0,-1,4,67.9,8.058171,0,0
333,2019,334,0,7,0,0,3,68.5,9.096314,0,0
334,2019,335,0,7,0,-4,3,69.2,7.8667955,0,0
335,2019,336,0,3,0,-3,1,68.4,7.98524,0,0
336,2019,337,0,3,0,-3,1,67.9,8.184566,0,0
337,2019,338,0,7,0,1,3,67.6,7.843083,0,0
338,2019,339,0,3,0,1,1,68.6,7.7060385,0,0
339,2019,340,0,7,0,-4,2,68.3,7.931893,0,0
340,2019,341,0,3,0,-4,2,68.2,7.863207,0,0
341,2019,342,0,7,0,-3,2,69.4,8.0622425,0,0
342,2019,343,0,7,0,-4,4,68.6,8.207486,0,0
343,2019,344,0,10,0,0,4,68.4,7.9327807,0,0
344,2019,345,0,13,0,-2,5,68.6,8.301273,0,0
345,2019,346,0,7,0,-3,3,68.3,8.006811,0,0
346,2019,347,0,7,0,-6,3,66.8,7.8186574,0,0
347,2019,348,0,3,0,1,2,68.1,7.7599463,0,0
348,2019,349,0,10,0,-3,4,68.8,7.9826355,0,0
349,2019,350,0,3,0,-7,2,67.7,7.9380283,0,0
350,2019,351,0,3,0,-3,1,68.2,7.546614,0,0
351,2019,352,0,23,0,-3,12,68.0,7.8538685,0,0
352,2019,353,0,23,0,-19,11,67.7,8.222999,0,0
353,2019,354,0,13,0,-14,5,69.7,7.8466334,0,0
354,2019,355,0,10,0,-12,4,68.4,7.950492,0,0
355,2019,356,0,7,0,-12,3,68.7,7.7267795,0,0
356,2019,357,0,7,0,-12,3,70.2,8.038105,0,0
357,2019,358,0,3,16,-6,1,70.3,7.6565313,0,0
358,2019,359,0,7,23,0,3,69.8,7.989601,0,0
359,2019,360,0,10,10,0,4,69.7,8.39317,0,0
360,2019,361,0,3,0,-2,2,70.1,8.102084,0,0
361,2019,362,0,3,0,-1,1,69.8,7.7706156,0,0
362,2019,363,0,0,0,-1,1,69.6,7.677272,0,0
363,2019,364,0,3,0,5,2,68.6,7.757631,0,0
364,2019,365,0,7,0,2,3,68.2,7.8369865,0,0
