,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
0,2015,1,0,13,104,-11,6,132.9,21.500598109203164,0,0
1,2015,2,0,23,122,-17,11,141.0,21.30929963341694,0,0
2,2015,3,0,23,102,-26,12,143.8,22.668358093768088,0,0
3,2015,4,0,30,105,-44,18,144.8,19.85923210495852,0,0
4,2015,5,0,27,88,-41,15,137.2,23.09448196025468,0,0
5,2015,6,0,27,89,-34,12,137.2,22.638317576693037,0,0
6,2015,7,0,33,103,-50,31,142.4,21.952537140652133,0,0
7,2015,8,0,27,99,-46,13,152.0,22.53175766930349,0,0
8,2015,9,0,17,111,-35,6,146.2,23.509280339571678,0,0
9,2015,10,0,20,106,-25,9,146.9,24.3616631294617,0,0
10,2015,11,0,23,122,-29,10,148.6,24.53760370441829,0,0
11,2015,12,0,17,124,-26,7,153.4,25.038028169014087,0,0
12,2015,13,0,20,101,-21,7,999.9,25.84603511479838,0,0
13,2015,14,0,17,80,-19,6,137.2,26.508778699594828,0,0
14,2015,15,0,10,59,-14,5,127.1,25.174377773490257,0,0
15,2015,16,0,17,52,-16,7,120.7,24.726239629558172,0,0
16,2015,17,0,13,40,-17,6,118.0,22.686243488327225,0,0
17,2015,18,0,10,68,-10,4,121.7,21.23391857997299,0,0
18,2015,19,0,10,66,-8,4,125.9,21.245707119428904,0,0
19,2015,20,0,3,56,-5,2,121.6,22.03988037815937,0,0
20,2015,21,0,23,43,6,11,120.0,20.76388192166699,0,0
21,2015,22,0,27,50,-17,12,116.6,19.980744742427166,0,0
22,2015,23,0,20,60,-15,8,117.3,20.514373914721205,0,0
23,2015,24,0,13,59,-13,6,121.4,18.71003279953695,0,0
24,2015,25,0,13,62,-7,5,122.7,19.796874397067338,0,0
25,2015,26,0,30,109,-21,15,142.5,21.288770982056725,0,0
26,2015,27,0,27,126,-17,11,153.3,21.248948485433147,0,0
27,2015,28,0,17,141,-15,7,154.5,23.574725062705,0,0
