,Year,DOY,HR,Kp index,R-(Sunspot No.),Dst-index-nT,ap_index-nT,f10.7_index,TEC,Latitude,Longitude
0,2020,1,0,7,6,3,2,69.4,7.5511484,0,0
1,2020,2,0,3,12,2,2,69.5,7.7250433,0,0
2,2020,3,0,13,13,-1,5,68.9,7.585182,0,0
3,2020,4,0,13,12,-11,5,69.8,7.794115,0,0
4,2020,5,0,20,14,-7,8,69.4,8.157418,0,0
5,2020,6,0,17,7,-10,8,68.1,8.154486,0,0
6,2020,7,0,10,4,-6,4,69.3,7.579278,0,0
7,2020,8,0,13,4,-10,6,71.2,7.347868,0,0
8,2020,9,0,23,15,-19,11,71.9,8.245379,0,0
9,2020,10,0,13,4,-11,6,70.4,7.9118075,0,0
10,2020,11,0,13,0,-9,5,71.0,8.02676,0,0
11,2020,12,0,7,0,-7,2,69.5,7.535713,0,0
12,2020,13,0,3,0,-2,2,69.1,7.23689,0,0
13,2020,14,0,3,0,-2,2,69.5,7.665657,0,0
14,2020,15,0,7,0,2,3,68.9,7.781594,0,0
15,2020,16,0,10,0,-2,4,69.4,7.722728,0,0
16,2020,17,0,7,0,3,2,67.9,7.8356547,0,0
17,2020,18,0,7,0,4,2,69.0,7.3616247,0,0
18,2020,19,0,0,0,3,1,69.5,7.5923595,0,0
19,2020,20,0,0,0,2,0,69.0,7.378179,0,0
20,2020,21,0,13,0,2,5,68.3,7.2136793,0,0
21,2020,22,0,13,0,-7,6,69.6,7.8198338,0,0
22,2020,23,0,10,0,-8,4,68.6,7.960313,0,0
23,2020,24,0,3,8,-2,2,68.8,7.3564153,0,0
24,2020,25,0,3,12,5,2,70.4,7.2640944,0,0
25,2020,26,0,7,19,7,3,72.4,7.2961802,0,0
26,2020,27,0,3,14,4,2,70.7,7.4997873,0,0
27,2020,28,0,10,12,4,4,72.0,7.3109202,0,0
28,2020,29,0,20,12,-10,8,72.0,7.934671,0,0
29,2020,30,0,27,12,-10,12,71.9,8.2423115,0,0
30,2020,31,0,17,12,-14,7,71.7,8.408412,0,0
31,2020,32,0,13,6,-9,5,70.4,7.7345552,0,0
32,2020,33,0,13,0,-5,5,70.2,8.1018915,0,0
33,2020,34,0,10,0,-7,4,70.0,8.011307,0,0
34,2020,35,0,13,0,-2,6,68.3,7.680918,0,0
35,2020,36,0,10,0,-7,4,68.6,7.864808,0,0
36,2020,37,0,27,0,-6,15,69.3,7.758904,0,0
37,2020,38,0,27,0,-11,13,68.9,8.953598,0,0
38,2020,39,0,13,0,-14,6,70.0,8.622439,0,0
39,2020,40,0,17,0,-8,6,68.8,8.10656,0,0
40,2020,41,0,13,0,-3,4,68.3,7.924426,0,0
41,2020,42,0,13,0,-2,5,69.3,7.710747,0,0
42,2020,43,0,10,0,0,4,69.8,7.712888,0,0
43,2020,44,0,3,0,2,2,69.4,7.4653673,0,0
44,2020,45,0,3,0,6,2,69.5,7.6527686,0,0
45,2020,46,0,10,0,6,4,68.8,7.6527686,0,0
46,2020,47,0,7,0,0,2,68.8,7.5302715,0,0
47,2020,48,0,13,0,-2,7,69.0,8.185973,0,0
48,2020,49,0,27,0,-28,13,69.4,8.192166,0,0
49,2020,50,0,23,0,-24,12,69.4,8.797627,0,0
50,2020,51,0,17,0,-13,7,69.2,8.316978,0,0
