,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
54,20140224,1,1,1+,2,2,2-,2-,0+,11,4,4,5,7,7.0,6.0,6.0,2.0,5.0
55,20140225,1-,0,0,1-,1,1-,0+,2,5+,3,0,0,3,4.0,3.0,2.0,7.0,3.0
56,20140226,2-,0,0+,0+,0,0+,0+,1-,4-,6,0,2,2,0.0,2.0,2.0,3.0,2.0
57,20140227,1-,1,0+,1-,3-,4,5+,5+,20,3,4,2,3,12.0,27.0,56.0,56.0,20.0
58,20140228,4,3-,3+,3-,1+,2,1+,1-,18,27,12,18,12,5.0,7.0,5.0,3.0,11.0
59,20140301,2-,1,2-,2-,1+,1-,2-,3-,12+,6,4,6,6,5.0,3.0,6.0,12.0,6.0
60,20140302,3+,1+,0+,0+,0+,0+,0,0+,6+,18,5,2,2,2.0,2.0,0.0,2.0,4.0
61,20140303,2+,2-,2,1,2,1-,0+,1+,11+,9,6,7,4,7.0,3.0,2.0,5.0,5.0
62,20140304,2,1,0+,2,2+,2,1,2+,13,7,4,2,7,9.0,7.0,4.0,9.0,6.0
63,20140305,1+,1-,1+,2-,2,2,2,2,13,5,3,5,6,7.0,7.0,7.0,7.0,6.0
64,20140306,1-,0,1-,1,2,2-,3-,1+,10,3,0,3,4,7.0,6.0,12.0,5.0,5.0
65,20140307,0+,0,0+,0,1,1-,1-,1-,4-,2,0,2,0,4.0,3.0,3.0,3.0,2.0
66,20140308,1-,0+,1-,1-,1-,1-,0,1-,4+,3,2,3,3,3.0,3.0,0.0,3.0,2.0
67,20140309,1-,0,0+,0+,0,0+,1-,1-,3,3,0,2,2,0.0,2.0,3.0,3.0,2.0
68,20140310,0+,0+,1-,2,1,1-,1,1-,7-,2,2,3,7,4.0,3.0,4.0,3.0,4.0
69,20140311,0,0+,1-,1-,1-,1,1-,1-,5-,0,2,3,3,3.0,4.0,3.0,3.0,3.0
70,20140312,2-,1-,0+,1-,1-,1+,1+,3-,9+,6,3,2,3,3.0,5.0,5.0,12.0,5.0
71,20140313,4,4-,3,2-,2,1,1+,1-,17+,27,22,15,6,7.0,4.0,5.0,3.0,11.0
72,20140314,1,2,2,1,2-,2-,1-,1-,11-,4,7,7,4,6.0,6.0,3.0,3.0,5.0
73,20140315,2,1-,1-,0+,0,0+,1+,1,6+,7,3,3,2,0.0,2.0,5.0,4.0,3.0
74,20140316,0,0+,1-,0+,0,0+,0,0,2-,0,2,3,2,0.0,2.0,0.0,0.0,1.0
75,20140317,0,0,0+,0+,0+,0+,0+,1+,3,0,0,2,2,2.0,2.0,2.0,5.0,2.0
76,20140318,1-,2-,2-,1,2-,2-,2-,1-,11-,3,6,6,4,6.0,6.0,6.0,3.0,5.0
77,20140319,2-,1-,2-,1-,1-,1-,0+,1-,7,6,3,6,3,3.0,3.0,2.0,3.0,4.0
78,20140320,1-,2-,2-,2+,1,1-,1,1,10,3,6,6,9,4.0,3.0,4.0,4.0,5.0
79,20140321,2+,2+,2+,2+,2+,3,1+,1+,17+,9,9,9,9,9.0,15.0,5.0,5.0,9.0
80,20140322,2-,0+,1-,1+,2,1,1-,1,9-,6,2,3,5,7.0,4.0,3.0,4.0,4.0
81,20140323,1,2-,2-,1,2-,1+,2,2-,12,4,6,6,4,6.0,5.0,7.0,6.0,6.0
82,20140324,2-,0,1-,1,1,1+,1-,0,6+,6,0,3,4,4.0,5.0,3.0,0.0,3.0
83,20140325,0+,0+,0+,2-,2-,1+,3,3+,12,2,2,2,6,6.0,5.0,15.0,18.0,7.0
84,20140326,4-,1+,4-,1+,1-,1-,2-,1,14,22,5,22,5,3.0,3.0,6.0,4.0,9.0
85,20140327,1,1,1+,2-,2,2-,2-,0+,11-,4,4,5,6,7.0,6.0,6.0,2.0,5.0
86,20140328,1-,1-,1+,1+,2,1+,2+,3,13-,3,3,5,5,7.0,5.0,9.0,15.0,6.0
87,20140329,3,2+,1-,1+,1-,1,1,3-,13-,15,9,3,5,3.0,4.0,4.0,12.0,7.0
88,20140330,2,1-,1,1,1-,1,1,1-,8,7,3,4,4,3.0,4.0,4.0,3.0,4.0
89,20140331,0,1-,1,1+,2+,3-,2+,0+,11-,0,3,4,5,9.0,12.0,9.0,2.0,6.0
90,20140401,0+,0+,1-,0+,2,2+,1,2+,9+,2,2,3,2,7.0,9.0,4.0,9.0,5.0
91,20140402,0+,0,0,1-,1+,1+,1+,1+,6+,2,0,0,3,5.0,5.0,5.0,5.0,3.0
92,20140403,1-,2-,1,2-,2,1+,1+,1+,11,3,6,4,6,7.0,5.0,5.0,5.0,5.0
93,20140404,0+,1,1+,1+,2-,2+,1+,0+,10-,2,4,5,5,6.0,9.0,5.0,2.0,5.0
94,20140405,1,1-,1+,4-,4-,3,2+,3,19-,4,3,5,22,22.0,15.0,9.0,15.0,12.0
95,20140406,2,0,0,0+,0+,1-,0,1,4+,7,0,0,2,2.0,3.0,0.0,4.0,2.0
96,20140407,3-,2-,2,1-,3,4,2-,2-,17+,12,6,7,3,15.0,27.0,6.0,6.0,10.0
97,20140408,2,1-,0,1,2,1,1-,0,7+,7,3,0,4,7.0,4.0,3.0,0.0,4.0
98,20140409,0,0+,1+,1+,2-,1+,1+,1-,8,0,2,5,5,6.0,5.0,5.0,3.0,4.0
99,20140410,0,0,0+,0+,1-,0+,1-,0+,3-,0,0,2,2,3.0,2.0,3.0,2.0,2.0
100,20140411,0,1,2,1,1,2,2-,4-,12+,0,4,7,4,4.0,7.0,6.0,22.0,7.0
101,20140412,5-,4+,4+,3-,3,2-,3-,2+,26-,39,32,32,12,15.0,6.0,12.0,9.0,20.0
102,20140413,4-,4,3+,3,2-,2,3,2+,23,22,27,18,15,6.0,7.0,15.0,9.0,15.0
103,20140414,2-,2-,3,1,0,1,2+,2-,12+,6,6,15,4,0.0,4.0,9.0,6.0,6.0
104,20140415,1+,2+,1+,1-,1-,1-,1+,1,9+,5,9,5,3,3.0,3.0,5.0,4.0,5.0
