,YYYYMMDD,Kp[8],,,,,,,,Sum,Ap[8],,,,,,,,Ap
833,20160413,5,4-,4,4,4,4-,3+,3-,30+,48,22,27,27,27.0,22.0,18.0,12.0,25.0
834,20160414,3+,3,2+,4+,4,5-,3+,3+,28+,18,15,9,32,27.0,39.0,18.0,18.0,22.0
835,20160415,4,2,0+,1-,1+,2,1+,2-,13+,27,7,2,3,5.0,7.0,5.0,6.0,8.0
836,20160416,0+,0+,2,2+,2,3,4-,4-,17+,2,2,7,9,7.0,15.0,22.0,22.0,11.0
837,20160417,4-,4,3+,2,3-,3,4,3-,25+,22,27,18,7,12.0,15.0,27.0,12.0,18.0
838,20160418,2+,1,2-,1+,1-,0,1,1-,9-,9,4,6,5,3.0,0.0,4.0,3.0,4.0
839,20160419,0,0+,0+,0+,1,0+,0,0+,3-,0,2,2,2,4.0,2.0,0.0,2.0,2.0
840,20160420,0,1+,1,1+,1-,0+,0+,1-,6-,0,5,4,5,3.0,2.0,2.0,3.0,3.0
841,20160421,0+,2-,1-,1,1,1+,1+,1,8+,2,6,3,4,4.0,5.0,5.0,4.0,4.0
842,20160422,2,1+,1+,2-,3,4-,3-,4,20-,7,5,5,6,15.0,22.0,12.0,27.0,12.0
843,20160423,1+,2+,1,2-,2+,2-,3-,5-,18-,5,9,4,6,9.0,6.0,12.0,39.0,11.0
844,20160424,1+,1+,2-,2-,3,4,3+,1,17+,5,5,6,6,15.0,27.0,18.0,4.0,11.0
845,20160425,1,1+,2-,2-,2-,1+,1,0,10-,4,5,6,6,6.0,5.0,4.0,0.0,4.0
846,20160426,1-,1-,1-,1+,2-,1,2,3-,11-,3,3,3,5,6.0,4.0,7.0,12.0,5.0
847,20160427,1,2,2+,2-,3-,3,2+,2+,17+,4,7,9,6,12.0,15.0,9.0,9.0,9.0
848,20160428,2,1,1,1,1,0+,1-,0+,7+,7,4,4,4,4.0,2.0,3.0,2.0,4.0
849,20160429,1-,1,0,0+,0+,0+,1,1-,4+,3,4,0,2,2.0,2.0,4.0,3.0,2.0
850,20160430,0+,1+,1+,1+,2,2,2+,3,14-,2,5,5,5,7.0,7.0,9.0,15.0,7.0
851,20160501,2+,2,2,2+,3,3+,4,4-,23-,9,7,7,9,15.0,18.0,27.0,22.0,14.0
852,20160502,5,6-,2-,2+,3-,3+,5-,5-,30,48,67,6,9,12.0,18.0,39.0,39.0,30.0
853,20160503,3+,3+,2+,2-,1+,2-,2-,2+,18-,18,18,9,6,5.0,6.0,6.0,9.0,10.0
854,20160504,2-,1,0,1,1,1,0+,1-,7-,6,4,0,4,4.0,4.0,2.0,3.0,3.0
855,20160505,0,1+,2-,2,2,2+,1,2,12+,0,5,6,7,7.0,9.0,4.0,7.0,6.0
856,20160506,2+,2-,2-,3-,3,4-,4+,3,22+,9,6,6,12,15.0,22.0,32.0,15.0,15.0
857,20160507,4-,1,1+,2,2-,2,1,3,16-,22,4,5,7,6.0,7.0,4.0,15.0,9.0
858,20160508,6-,6+,6,5-,5+,6-,6-,6+,46-,67,94,80,39,56.0,67.0,67.0,94.0,70.0
859,20160509,6+,4-,3-,3+,4-,3,4,4,31-,94,22,12,18,22.0,15.0,27.0,27.0,30.0
860,20160510,3,4-,3,2+,3+,2+,2,2+,22,15,22,15,9,18.0,9.0,7.0,9.0,13.0
861,20160511,3-,2-,0+,0+,0+,1+,1+,2,10,12,6,2,2,2.0,5.0,5.0,7.0,5.0
862,20160512,1-,1,1-,1,1,0,1-,1,6,3,4,3,4,4.0,0.0,3.0,4.0,3.0
863,20160513,1,1-,2-,1+,2,2-,2+,2,13-,4,3,6,5,7.0,6.0,9.0,7.0,6.0
864,20160514,2+,1+,2,2,2,1,3-,3+,17-,9,5,7,7,7.0,4.0,12.0,18.0,9.0
865,20160515,3,3-,2,1+,3+,4-,4-,1,21-,15,12,7,5,18.0,22.0,22.0,4.0,13.0
866,20160516,2+,3,3-,3,3+,2+,2+,1+,20+,9,15,12,15,18.0,9.0,9.0,5.0,12.0
867,20160517,2+,2,3+,3-,3,3-,3-,3,22-,9,7,18,12,15.0,12.0,12.0,15.0,12.0
868,20160518,2-,3-,2-,2+,2+,1+,1-,1,14-,6,12,6,9,9.0,5.0,3.0,4.0,7.0
869,20160519,1+,1-,2+,2-,2+,3-,2,1-,14-,5,3,9,6,9.0,12.0,7.0,3.0,7.0
870,20160520,2+,2+,1+,1,1,0+,1-,2,11,9,9,5,4,4.0,2.0,3.0,7.0,5.0
871,20160521,2+,3,5-,2+,3-,3+,3,1,22+,9,15,39,9,12.0,18.0,15.0,4.0,15.0
872,20160522,2-,2+,2,3-,2+,1,1-,0,13-,6,9,7,12,9.0,4.0,3.0,0.0,6.0
873,20160523,0+,1,1+,2-,1-,0,1,0+,6+,2,4,5,6,3.0,0.0,4.0,2.0,3.0
874,20160524,1+,1,1,2+,1+,0+,1-,1-,9-,5,4,4,9,5.0,2.0,3.0,3.0,4.0
875,20160525,0+,1,0+,1,1-,0+,0+,0,4,2,4,2,4,3.0,2.0,2.0,0.0,2.0
876,20160526,0,0+,0+,0+,0+,1-,1+,1,4+,0,2,2,2,2.0,3.0,5.0,4.0,2.0
877,20160527,2+,2+,1,2,2,2,3,3,18-,9,9,4,7,7.0,7.0,15.0,15.0,9.0
878,20160528,3,2+,4,2+,2,3+,3-,2+,22,15,9,27,9,7.0,18.0,12.0,9.0,13.0
879,20160529,2-,1+,1+,2-,1,1+,2-,3,13,6,5,5,6,4.0,5.0,6.0,15.0,6.0
880,20160530,4,3-,3-,2+,1,2,1+,2+,18+,27,12,12,9,4.0,7.0,5.0,9.0,11.0
881,20160531,2-,1,2+,2-,1+,2+,3+,4-,17+,6,4,9,6,5.0,9.0,18.0,22.0,10.0
882,20160601,2-,1,1,1-,1+,1+,2,1+,10+,6,4,4,3,5.0,5.0,7.0,5.0,5.0
883,20160602,0+,1,0+,1-,1-,0+,0+,1-,4+,2,4,2,3,3.0,2.0,2.0,3.0,3.0
884,20160603,1,0+,0+,0+,0,0+,0+,1-,3+,4,2,2,2,0.0,2.0,2.0,3.0,2.0
885,20160604,1-,0+,0+,0+,0+,1-,1+,1+,5+,3,2,2,2,2.0,3.0,5.0,5.0,3.0
886,20160605,1+,2,2,4-,5+,5-,5+,5-,29,5,7,7,22,56.0,39.0,56.0,39.0,29.0
887,20160606,4+,5+,4-,4,4-,2,3,2-,28-,32,56,22,27,22.0,7.0,15.0,6.0,23.0
888,20160607,2-,1+,1-,2+,2,2,3,3,16,6,5,3,9,7.0,7.0,15.0,15.0,8.0
889,20160608,2,2,1-,2,2-,2-,0+,0+,11-,7,7,3,7,6.0,6.0,2.0,2.0,5.0
890,20160609,2,1-,0+,0+,1,1-,1-,0+,6,7,3,2,2,4.0,3.0,3.0,2.0,3.0
891,20160610,0+,1,0+,1-,1+,1+,3+,2+,11-,2,4,2,3,5.0,5.0,18.0,9.0,6.0
892,20160611,3,1+,2-,1+,2,2,2,3+,17-,15,5,6,5,7.0,7.0,7.0,18.0,9.0
893,20160612,1+,2-,2+,2-,3-,3,4-,2,18+,5,6,9,6,12.0,15.0,22.0,7.0,10.0
894,20160613,3-,4-,1+,2-,2,1,2-,1-,15-,12,22,5,6,7.0,4.0,6.0,3.0,8.0
895,20160614,3-,2-,1+,2-,2,3-,6+,4,22+,12,6,5,6,7.0,12.0,94.0,27.0,21.0
896,20160615,4+,2,2+,3,3-,2+,1,1-,18+,32,7,9,15,12.0,9.0,4.0,3.0,11.0
897,20160616,2-,1+,1+,2,2+,2,1+,1+,13+,6,5,5,7,9.0,7.0,5.0,5.0,6.0
898,20160617,1+,2-,2-,2,3-,2+,2+,1-,15-,5,6,6,7,12.0,9.0,9.0,3.0,7.0
899,20160618,2-,2+,2+,2+,2+,1+,2-,2-,16-,6,9,9,9,9.0,5.0,6.0,6.0,7.0
900,20160619,2-,2-,2,1-,1,1+,1-,0,9,6,6,7,3,4.0,5.0,3.0,0.0,4.0
901,20160620,1,1,1+,0+,1-,1-,1,1,7,4,4,5,2,3.0,3.0,4.0,4.0,4.0
902,20160621,1-,1-,0+,1-,1,1-,1-,0+,5,3,3,2,3,4.0,3.0,3.0,2.0,3.0
903,20160622,1-,1,1-,1+,2-,3+,5-,3+,17-,3,4,3,5,6.0,18.0,39.0,18.0,12.0
904,20160623,2-,3,1-,1-,1,3+,3-,4-,17-,6,15,3,3,4.0,18.0,12.0,22.0,10.0
905,20160624,3+,4-,3,2-,2+,2+,2-,3,21,18,22,15,6,9.0,9.0,6.0,15.0,12.0
906,20160625,3-,2,2-,1-,1,1,2,3-,14-,12,7,6,3,4.0,4.0,7.0,12.0,7.0
907,20160626,2-,1+,2-,1+,2,3,3,4-,18-,6,5,6,5,7.0,15.0,15.0,22.0,10.0
908,20160627,3,2+,3-,1,1,1,1+,2,14+,15,9,12,4,4.0,4.0,5.0,7.0,8.0
909,20160628,2+,2-,1+,1+,2,1+,1,0+,11+,9,6,5,5,7.0,5.0,4.0,2.0,5.0
910,20160629,2-,1,1,1-,1-,1,2-,1-,8+,6,4,4,3,3.0,4.0,6.0,3.0,4.0
911,20160630,0+,1-,0+,1-,0+,2,3,3-,10,2,3,2,3,2.0,7.0,15.0,12.0,6.0
912,20160701,3+,2,2+,2,1+,1-,0,0+,12,18,7,9,7,5.0,3.0,0.0,2.0,6.0
913,20160702,1-,1,1,1-,1+,1,3-,4-,12,3,4,4,3,5.0,4.0,12.0,22.0,7.0
914,20160703,3-,2,1+,1+,1,2+,2,3-,15+,12,7,5,5,4.0,9.0,7.0,12.0,8.0
915,20160704,2-,2-,2,1+,1,0+,2-,1,11-,6,6,7,5,4.0,2.0,6.0,4.0,5.0
916,20160705,1,1+,1-,0+,0+,0+,1-,1-,5+,4,5,3,2,2.0,2.0,3.0,3.0,3.0
917,20160706,0,0+,0+,1-,1-,1,1+,3-,7,0,2,2,3,3.0,4.0,5.0,12.0,4.0
918,20160707,3-,3-,3-,3-,3+,4+,5-,4+,27+,12,12,12,12,18.0,32.0,39.0,32.0,21.0
919,20160708,3+,2+,3+,4-,4,4-,4,2+,27-,18,9,18,22,27.0,22.0,27.0,9.0,19.0
920,20160709,3+,2+,3+,2+,3,3,2+,2-,21+,18,9,18,9,15.0,15.0,9.0,6.0,12.0
921,20160710,2+,2,2,3-,3-,2-,2+,2,18-,9,7,7,12,12.0,6.0,9.0,7.0,9.0
922,20160711,2+,3-,1+,2,3-,2+,3-,3-,19-,9,12,5,7,12.0,9.0,12.0,12.0,10.0
923,20160712,3,4+,4+,4-,2+,2-,3-,3+,25+,15,32,32,22,9.0,6.0,12.0,18.0,18.0
924,20160713,3,2,1+,2-,2-,2-,1+,2,15-,15,7,5,6,6.0,6.0,5.0,7.0,7.0
925,20160714,2-,2+,4,3+,2-,2,2-,2,19-,6,9,27,18,6.0,7.0,6.0,7.0,11.0
926,20160715,2+,3,3-,3-,2-,2+,2-,3-,19,9,15,12,12,6.0,9.0,6.0,12.0,10.0
927,20160716,3-,1+,1+,1+,3,1+,2-,1,14-,12,5,5,5,15.0,5.0,6.0,4.0,7.0
928,20160717,1+,1+,1-,1,1+,1+,1+,2,10+,5,5,3,4,5.0,5.0,5.0,7.0,5.0
929,20160718,1-,1-,1,1-,0+,0+,0+,1+,5+,3,3,4,3,2.0,2.0,2.0,5.0,3.0
930,20160719,1,1-,0+,1-,1-,1-,0+,5,9+,4,3,2,3,3.0,3.0,2.0,48.0,8.0
931,20160720,5,5-,4-,2+,2+,2+,3-,1,24,48,39,22,9,9.0,9.0,12.0,4.0,19.0
932,20160721,1-,0+,1,1+,1+,3-,1-,2,10,3,2,4,5,5.0,12.0,3.0,7.0,5.0
933,20160722,1+,1+,1+,2-,2+,3-,2+,2-,15-,5,5,5,6,9.0,12.0,9.0,6.0,7.0
934,20160723,2,3,3,1+,1,0+,1-,2-,13,7,15,15,5,4.0,2.0,3.0,6.0,7.0
935,20160724,2-,1-,1,1+,2-,4-,5-,4,19-,6,3,4,5,6.0,22.0,39.0,27.0,14.0
936,20160725,4,4-,3,3,4-,3+,3-,2+,26-,27,22,15,15,22.0,18.0,12.0,9.0,18.0
937,20160726,1-,1+,1-,0+,1,1,1,1+,7+,3,5,3,2,4.0,4.0,4.0,5.0,4.0
938,20160727,1-,0+,0,0,0+,0+,1-,2,4+,3,2,0,0,2.0,2.0,3.0,7.0,2.0
939,20160728,2+,3+,3,2-,2,3-,4,3+,22+,9,18,15,6,7.0,12.0,27.0,18.0,14.0
940,20160729,3+,4-,3,3,2+,2+,3-,2-,22,18,22,15,15,9.0,9.0,12.0,6.0,13.0
941,20160730,3,1+,1,1,1-,1-,1,1,10-,15,5,4,4,3.0,3.0,4.0,4.0,5.0
942,20160731,2-,0+,0+,1,0+,1,1-,0,5+,6,2,2,4,2.0,4.0,3.0,0.0,3.0
943,20160801,1+,0+,0,0,0+,1-,1-,1+,5-,5,2,0,0,2.0,3.0,3.0,5.0,2.0
944,20160802,1,1+,1+,2+,2+,4-,4+,5,21+,4,5,5,9,9.0,22.0,32.0,48.0,17.0
945,20160803,5,4,5-,5,4,5-,3,3,33+,48,27,39,48,27.0,39.0,15.0,15.0,32.0
946,20160804,4-,3+,3-,3-,3,4,3,2-,24,22,18,12,12,15.0,27.0,15.0,6.0,16.0
947,20160805,1+,4-,4-,4,3,3-,2,3+,24-,5,22,22,27,15.0,12.0,7.0,18.0,16.0
948,20160806,3,2-,3-,3+,3-,3-,2,3+,21+,15,6,12,18,12.0,12.0,7.0,18.0,12.0
949,20160807,4+,2-,1+,1+,3-,3,2-,3-,19-,32,6,5,5,12.0,15.0,6.0,12.0,12.0
950,20160808,3+,2,2-,2-,3-,4-,2+,1-,18,18,7,6,6,12.0,22.0,9.0,3.0,10.0
951,20160809,1+,3-,2-,3+,3+,3-,2-,3+,20,5,12,6,18,18.0,12.0,6.0,18.0,12.0
952,20160810,4-,3,3+,3+,2,3-,3,3,24,22,15,18,18,7.0,12.0,15.0,15.0,15.0
953,20160811,2-,1-,1+,2-,1+,2+,3,3,15,6,3,5,6,5.0,9.0,15.0,15.0,8.0
954,20160812,4-,3+,2,2+,2,2-,1,1,17,22,18,7,9,7.0,6.0,4.0,4.0,10.0
955,20160813,1+,1+,1,1-,1,1+,2-,1-,9,5,5,4,3,4.0,5.0,6.0,3.0,4.0
956,20160814,1+,0+,1-,1,2-,0+,1-,0+,6+,5,2,3,4,6.0,2.0,3.0,2.0,3.0
957,20160815,1-,0+,1+,1-,0+,1,0,1,5+,3,2,5,3,2.0,4.0,0.0,4.0,3.0
958,20160816,0,0+,1-,1-,2-,1,1,3+,9-,0,2,3,3,6.0,4.0,4.0,18.0,5.0
959,20160817,3-,3,1+,1,1+,0+,2-,3-,14,12,15,5,4,5.0,2.0,6.0,12.0,8.0
960,20160818,2-,3,1,1,2-,1,1-,2-,12-,6,15,4,4,6.0,4.0,3.0,6.0,6.0
961,20160819,0+,0,1+,1+,1,1+,1,1-,7,2,0,5,5,4.0,5.0,4.0,3.0,4.0
962,20160820,2,1+,1+,0+,1-,0,0,0+,6,7,5,5,2,3.0,0.0,0.0,2.0,3.0
963,20160821,0,0,0+,1,3-,4-,2+,3-,13-,0,0,2,4,12.0,22.0,9.0,12.0,8.0
964,20160822,1+,1,1,1-,0+,1-,1+,1,7+,5,4,4,3,2.0,3.0,5.0,4.0,4.0
965,20160823,1+,2,0+,2+,3+,3,5,5-,22,5,7,2,9,18.0,15.0,48.0,39.0,18.0
966,20160824,5+,3-,2-,3+,4-,2,2,4-,24+,56,12,6,18,22.0,7.0,7.0,22.0,19.0
967,20160825,2,1+,2+,3-,2,3-,3-,3+,19,7,5,9,12,7.0,12.0,12.0,18.0,10.0
968,20160826,3-,2-,0+,1-,1,2,2-,2-,12-,12,6,2,3,4.0,7.0,6.0,6.0,6.0
969,20160827,2,2+,1-,2-,1,1-,1-,0,9,7,9,3,6,4.0,3.0,3.0,0.0,4.0
970,20160828,0+,0+,0+,1,1-,0+,0+,0+,4-,2,2,2,4,3.0,2.0,2.0,2.0,2.0
971,20160829,1,0,0+,1+,2-,2-,2+,3,11+,4,0,2,5,6.0,6.0,9.0,15.0,6.0
972,20160830,3-,2+,2-,2-,3+,4+,4,4,24,12,9,6,6,18.0,32.0,27.0,27.0,17.0
973,20160831,2-,1-,1,1-,1-,1-,3-,3-,11-,6,3,4,3,3.0,3.0,12.0,12.0,6.0
974,20160901,4,4-,4,3,4,3+,5-,5,32-,27,22,27,15,27.0,18.0,39.0,48.0,28.0
975,20160902,6,5+,3,3+,5-,4,3-,5,34,80,56,15,18,39.0,27.0,12.0,48.0,37.0
976,20160903,4-,6-,5-,4,4+,5-,4+,4+,36-,22,67,39,27,32.0,39.0,32.0,32.0,36.0
977,20160904,4+,3+,4,4-,4-,4,4+,4-,31,32,18,27,22,22.0,27.0,32.0,22.0,25.0
978,20160905,3,3+,3+,2+,1+,3+,5-,3,24+,15,18,18,9,5.0,18.0,39.0,15.0,17.0
979,20160906,3,3,3,2+,3-,2+,4-,2+,22+,15,15,15,9,12.0,9.0,22.0,9.0,13.0
980,20160907,3,3+,1+,2,3+,3+,1+,2-,19+,15,18,5,7,18.0,18.0,5.0,6.0,12.0
981,20160908,3,4-,3,2+,2+,2,2+,2-,20+,15,22,15,9,9.0,7.0,9.0,6.0,12.0
982,20160909,2,0+,0+,0,1,1-,1-,2-,7-,7,2,2,0,4.0,3.0,3.0,6.0,3.0
983,20160910,1,1+,1+,1-,0,0,0+,2-,6+,4,5,5,3,0.0,0.0,2.0,6.0,3.0
984,20160911,1-,0+,1-,1-,1,1,1,1-,6,3,2,3,3,4.0,4.0,4.0,3.0,3.0
985,20160912,2,2-,1-,1-,2-,0+,1-,1+,9,7,6,3,3,6.0,2.0,3.0,5.0,4.0
986,20160913,2-,1+,1,1,1-,1-,1-,1,8,6,5,4,4,3.0,3.0,3.0,4.0,4.0
987,20160914,1+,1+,1+,2-,2+,2-,3,2+,15,5,5,5,6,9.0,6.0,15.0,9.0,8.0
988,20160915,3-,2+,2-,1,1-,1-,1-,1+,11,12,9,6,4,3.0,3.0,3.0,5.0,6.0
989,20160916,0,0,0,0+,1-,1,2-,0+,4,0,0,0,2,3.0,4.0,6.0,2.0,2.0
990,20160917,1+,0+,0,1+,1-,0,0+,1,5,5,2,0,5,3.0,0.0,2.0,4.0,3.0
991,20160918,1+,1,2-,2+,2+,2,1,1+,13,5,4,6,9,9.0,7.0,4.0,5.0,6.0
992,20160919,1+,1-,2+,2+,2+,3-,1+,3,16,5,3,9,9,9.0,12.0,5.0,15.0,8.0
993,20160920,4+,4+,4-,4-,2-,3-,3-,2+,25+,32,32,22,22,6.0,12.0,12.0,9.0,18.0
994,20160921,4,2,2,3,1,0,1,1,14,27,7,7,15,4.0,0.0,4.0,4.0,8.0
995,20160922,2,1,2-,1-,1-,0,0,0,6,7,4,6,3,3.0,0.0,0.0,0.0,3.0
996,20160923,0,1,1+,0+,1-,1-,0+,1,5+,0,4,5,2,3.0,3.0,2.0,4.0,3.0
997,20160924,0,0+,1-,0+,1,1-,2,2+,7+,0,2,3,2,4.0,3.0,7.0,9.0,4.0
998,20160925,4,4+,1,4-,3-,3,4+,4+,27+,27,32,4,22,12.0,15.0,32.0,32.0,22.0
999,20160926,3+,4-,3,3-,3+,3+,4-,4+,27+,18,22,15,12,18.0,18.0,22.0,32.0,20.0
1000,20160927,5,4-,4,5,4+,6-,3,4-,34+,48,22,27,48,32.0,67.0,15.0,22.0,35.0
1001,20160928,4+,5-,3,4+,4,5,6-,4+,35+,32,39,15,32,27.0,48.0,67.0,32.0,36.0
1002,20160929,4-,5-,5+,5,4,5,4+,3,35,22,39,56,48,27.0,48.0,32.0,15.0,36.0
1003,20160930,4,4-,3+,3+,2+,3,5,2,27-,27,22,18,18,9.0,15.0,48.0,7.0,20.0
1004,20161001,3,4,2+,3-,2,4-,4+,3,25,15,27,9,12,7.0,22.0,32.0,15.0,17.0
1005,20161002,3+,3,3-,2,3+,2+,4+,3+,24+,18,15,12,7,18.0,9.0,32.0,18.0,16.0
1006,20161003,2+,4-,3+,1,2,3-,3+,3,21+,9,22,18,4,7.0,12.0,18.0,15.0,13.0
1007,20161004,4-,5,3,4,4,2,3+,3+,28+,22,48,15,27,27.0,7.0,18.0,18.0,23.0
1008,20161005,3+,3+,3,2,2,2+,2-,2+,20,18,18,15,7,7.0,9.0,6.0,9.0,11.0
1009,20161006,2,2-,1,0,0+,2+,2,1,10+,7,6,4,0,2.0,9.0,7.0,4.0,5.0
1010,20161007,3-,2-,1,0+,1-,2-,2,1-,11-,12,6,4,2,3.0,6.0,7.0,3.0,5.0
1011,20161008,2,3+,2,2,1,1,2-,1+,14+,7,18,7,7,4.0,4.0,6.0,5.0,7.0
1012,20161009,1+,1,1+,1,2-,1-,2,1,10,5,4,5,4,6.0,3.0,7.0,4.0,5.0
1013,20161010,3+,3-,2+,1,1,3-,3,1-,17-,18,12,9,4,4.0,12.0,15.0,3.0,10.0
1014,20161011,0,0,1-,1,0+,0,0+,1-,3,0,0,3,4,2.0,0.0,2.0,3.0,2.0
1015,20161012,1-,0+,1-,0+,0+,1,2-,3,8,3,2,3,2,2.0,4.0,6.0,15.0,5.0
1016,20161013,2+,3,4+,5-,5-,6+,6+,5,37-,9,15,32,39,39.0,94.0,94.0,48.0,46.0
1017,20161014,6-,5-,5-,3,2-,2-,1-,1-,23-,67,39,39,15,6.0,6.0,3.0,3.0,22.0
1018,20161015,3-,2+,2,2,2,3-,2,3,19-,12,9,7,7,7.0,12.0,7.0,15.0,10.0
1019,20161016,3-,1+,3-,3,3,2+,5,4-,24-,12,5,12,15,15.0,9.0,48.0,22.0,17.0
1020,20161017,3+,3+,4-,4,2+,4-,3+,4,28-,18,18,22,27,9.0,22.0,18.0,27.0,20.0
1021,20161018,3-,3,3,2,1+,1+,1,2+,17-,12,15,15,7,5.0,5.0,4.0,9.0,9.0
1022,20161019,3-,2,1,1+,1,1+,1+,1-,11+,12,7,4,5,4.0,5.0,5.0,3.0,6.0
1023,20161020,1+,0,0+,0,0+,0,1+,0+,4-,5,0,2,0,2.0,0.0,5.0,2.0,2.0
1024,20161021,0,1-,0+,0,0,0,0,0+,1+,0,3,2,0,0.0,0.0,0.0,2.0,1.0
1025,20161022,1,0,1-,1+,1,2-,2+,2-,10-,4,0,3,5,4.0,6.0,9.0,6.0,5.0
1026,20161023,0+,2,3-,1+,2,2,3-,3,16,2,7,12,5,7.0,7.0,12.0,15.0,8.0
1027,20161024,4-,4-,3-,2,4-,3,2,4-,24+,22,22,12,7,22.0,15.0,7.0,22.0,16.0
1028,20161025,4+,4+,3+,5,6+,6+,5+,6,41,32,32,18,48,94.0,94.0,56.0,80.0,57.0
1029,20161026,5-,5,4-,6-,4,6-,5-,5-,38,39,48,22,67,27.0,67.0,39.0,39.0,44.0
1030,20161027,4+,5-,4-,3,3+,5-,4,3+,31,32,39,22,15,18.0,39.0,27.0,18.0,26.0
1031,20161028,3-,3-,3+,3-,3-,3+,3,4+,25-,12,12,18,12,12.0,18.0,15.0,32.0,16.0
1032,20161029,5,5+,5-,3+,4-,2+,3-,2+,29+,48,56,39,18,22.0,9.0,12.0,9.0,27.0
1033,20161030,4,3+,3,2+,4-,3+,3,2,25-,27,18,15,9,22.0,18.0,15.0,7.0,16.0
1034,20161031,3-,3,2+,2+,1+,2,2-,1-,16,12,15,9,9,5.0,7.0,6.0,3.0,8.0
1035,20161101,2,2,2,3-,3,2,2,4-,19+,7,7,7,12,15.0,7.0,7.0,22.0,10.0
1036,20161102,4+,2,1,2+,4-,3-,2-,4-,21+,32,7,4,9,22.0,12.0,6.0,22.0,14.0
1037,20161103,3,3,4,4-,3-,3-,2,4-,25-,15,15,27,22,12.0,12.0,7.0,22.0,16.0
1038,20161104,3-,2-,1,1-,0,0,1,0+,7+,12,6,4,3,0.0,0.0,4.0,2.0,4.0
1039,20161105,1-,0+,1-,1-,0+,0,0+,0,3,3,2,3,3,2.0,0.0,2.0,0.0,2.0
1040,20161106,1,0+,1+,1,2,0+,1,2-,9-,4,2,5,4,7.0,2.0,4.0,6.0,4.0
1041,20161107,2,1-,1+,1-,1-,1-,0,0,6,7,3,5,3,3.0,3.0,0.0,0.0,3.0
1042,20161108,0,0,0+,1-,1,0+,0,1,3+,0,0,2,3,4.0,2.0,0.0,4.0,2.0
1043,20161109,0,0,2,2-,2,1,3-,3-,12,0,0,7,6,7.0,4.0,12.0,12.0,6.0
1044,20161110,2-,2-,2,2+,3+,5-,3,3,22-,6,6,7,9,18.0,39.0,15.0,15.0,14.0
1045,20161111,4+,2,2-,2,2-,2+,2-,3+,19,32,7,6,7,6.0,9.0,6.0,18.0,11.0
1046,20161112,3-,4-,2+,4,4-,3+,3,3+,26,12,22,9,27,22.0,18.0,15.0,18.0,18.0
1047,20161113,4-,4-,3+,3+,3,3,5-,4-,28+,22,22,18,18,15.0,15.0,39.0,22.0,21.0
1048,20161114,1+,2+,2+,2+,3-,3,2-,3,19-,5,9,9,9,12.0,15.0,6.0,15.0,10.0
1049,20161115,3+,2+,2-,2-,2+,1+,0+,0+,13+,18,9,6,6,9.0,5.0,2.0,2.0,7.0
1050,20161116,1-,1,1-,0+,0+,1,2-,2-,7+,3,4,3,2,2.0,4.0,6.0,6.0,4.0
1051,20161117,1,0+,0+,0+,0,0+,1+,1+,5,4,2,2,2,0.0,2.0,5.0,5.0,3.0
1052,20161118,2,0,0,0,0+,1+,0,0+,4,7,0,0,0,2.0,5.0,0.0,2.0,2.0
1053,20161119,0,0,0,0,0+,1-,1-,0+,2,0,0,0,0,2.0,3.0,3.0,2.0,1.0
1054,20161120,0,0,0+,1-,1,1-,0+,1,4,0,0,2,3,4.0,3.0,2.0,4.0,2.0
1055,20161121,1-,2-,1-,1-,1+,1,2+,2+,11-,3,6,3,3,5.0,4.0,9.0,9.0,5.0
1056,20161122,1,1-,1,2,2+,3,3,4+,17+,4,3,4,7,9.0,15.0,15.0,32.0,11.0
1057,20161123,4,3,3-,2-,1+,2-,3-,1,18,27,15,12,6,5.0,6.0,12.0,4.0,11.0
1058,20161124,4-,2+,3,3,5-,3+,4-,4-,27+,22,9,15,15,39.0,18.0,22.0,22.0,20.0
1059,20161125,4+,5+,5,3-,4+,4-,4+,2,32-,32,56,48,12,32.0,22.0,32.0,7.0,30.0
1060,20161126,3-,3,2+,2+,2,3,3-,2,20,12,15,9,9,7.0,15.0,12.0,7.0,11.0
1061,20161127,2+,3-,2+,2,2,1-,2,2+,16+,9,12,9,7,7.0,3.0,7.0,9.0,8.0
1062,20161128,1+,2-,2-,1+,2,3-,2,2+,15,5,6,6,5,7.0,12.0,7.0,9.0,7.0
1063,20161129,2,1+,0+,1-,1,1-,2-,2,10-,7,5,2,3,4.0,3.0,6.0,7.0,5.0
1064,20161130,1,1-,1+,0+,0+,1-,0+,0+,5,4,3,5,2,2.0,3.0,2.0,2.0,3.0
1065,20161201,1-,2-,1,0+,0+,0,0,0,4,3,6,4,2,2.0,0.0,0.0,0.0,2.0
1066,20161202,0+,1,1-,1-,1-,1+,1+,1-,7-,2,4,3,3,3.0,5.0,5.0,3.0,4.0
1067,20161203,0+,0+,1-,0,0,0+,1,0,3-,2,2,3,0,0.0,2.0,4.0,0.0,2.0
1068,20161204,0,1-,0,0+,0,0,0,0+,1+,0,3,0,2,0.0,0.0,0.0,2.0,1.0
1069,20161205,2+,1-,0,0,1-,1,1,1+,7,9,3,0,0,3.0,4.0,4.0,5.0,4.0
1070,20161206,0+,0+,1,2,3+,2,1+,2+,13-,2,2,4,7,18.0,7.0,5.0,9.0,7.0
1071,20161207,0,2-,3,2,2-,3-,3,3-,17-,0,6,15,7,6.0,12.0,15.0,12.0,9.0
